#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -7.39038    -7.58895   0.0137338
         153    -7.35513    -7.58742   0.0137288
         154    -7.46954    -7.58665    0.013661
         155    -7.44807    -7.58576   0.0136021
         156    -7.53793    -7.58545   0.0135183
         157    -7.52013    -7.58504   0.0134386
         158     -7.6031    -7.58515   0.0133541
         159    -7.64904    -7.58555   0.0132761
         160    -7.60503    -7.58567   0.0131937
         161     -7.6137    -7.58585   0.0131129
         162    -7.54113    -7.58557   0.0130349
         163    -7.57939    -7.58553    0.012955
         164    -7.49925    -7.58501   0.0128866
         165    -7.54381    -7.58476    0.012811
         166    -7.57848    -7.58472   0.0127338
         167    -7.60407    -7.58484   0.0126581
         168     -7.5705    -7.58475   0.0125831
         169    -7.59147    -7.58479   0.0125087
         170    -7.52219    -7.58442   0.0124405
         171    -7.56593    -7.58431   0.0123682
         172    -7.56292    -7.58419   0.0122969
         173    -7.49018    -7.58365   0.0122379
         174    -7.38276    -7.58249   0.0122219
         175    -7.39716    -7.58143   0.0121978
         176    -7.37147    -7.58024   0.0121867
         177    -7.50889    -7.57984   0.0121245
         178    -7.45719    -7.57915    0.012076
         179    -7.50137    -7.57871   0.0120163
         180    -7.48125    -7.57817   0.0119618
         181     -7.5187    -7.57784   0.0119002
         182    -7.50714    -7.57745   0.0118411
         183    -7.56053    -7.57736   0.0117768
         184    -7.60515    -7.57751   0.0117138
         185    -7.47071    -7.57694   0.0116647
         186    -7.52209    -7.57664   0.0116057
         187     -7.5469    -7.57648   0.0115447
         188    -7.54398    -7.57631   0.0114846
         189     -7.5245    -7.57604   0.0114271
         190    -7.58783     -7.5761   0.0113671
         191    -7.48047     -7.5756   0.0113186
         192    -7.60258    -7.57574   0.0112606
         193    -7.59524    -7.57584   0.0112027
         194    -7.52796    -7.57559   0.0111476
         195    -7.49993     -7.5752   0.0110972
         196    -7.49554     -7.5748    0.011048
         197    -7.45137    -7.57417   0.0110097
         198    -7.47943    -7.57369   0.0109645
         199    -7.46251    -7.57313   0.0109236
         200    -7.53287    -7.57293   0.0108709
         201    -7.54995    -7.57282   0.0108174
         202    -7.57667    -7.57284   0.0107638
         203    -7.57978    -7.57287   0.0107109
         204    -7.56271    -7.57282   0.0106585
         205    -7.50136    -7.57247   0.0106122
         206    -7.49893    -7.57212   0.0105667
         207    -7.43381    -7.57145   0.0105367
         208    -7.47014    -7.57096   0.0104973
         209    -7.51357    -7.57069   0.0104507
         210    -7.47995    -7.57025   0.0104099
         211     -7.5675    -7.57024   0.0103605
         212    -7.60842    -7.57042   0.0103132
         213    -7.64475    -7.57077   0.0102707
         214    -7.65617    -7.57117   0.0102305
         215    -7.74739    -7.57199   0.0102157
         216    -7.72485     -7.5727   0.0101929
         217    -7.67373    -7.57316   0.0101565
         218     -7.7535    -7.57399   0.0101436
         219    -7.78889    -7.57497   0.0101446
         220    -7.75841     -7.5758   0.0101327
         221    -7.73252    -7.57651   0.0101116
         222    -7.66056    -7.57689   0.0100732
         223    -7.71546    -7.57751   0.0100471
         224    -7.55671    -7.57742   0.0100027
         225    -7.48796    -7.57702  0.00996615
         226    -7.51235    -7.57674  0.00992616
         227    -7.45918    -7.57622  0.00989594
         228    -7.36683     -7.5753  0.00989506
         229    -7.34015    -7.57427  0.00990498
         230    -7.39017    -7.57347  0.00989421
         231    -7.42021    -7.57281   0.0098736
         232    -7.45672    -7.57231  0.00984371
         233    -7.48472    -7.57193  0.00980864
         234    -7.52152    -7.57172  0.00976909
         235    -7.52349    -7.57151  0.00972967
         236    -7.49847     -7.5712  0.00969336
         237    -7.49769    -7.57089  0.00965743
         238    -7.52405     -7.5707  0.00961885
         239    -7.47656     -7.5703  0.00958667
         240    -7.49468    -7.56999   0.0095519
         241    -7.49077    -7.56966  0.00951792
         242    -7.55154    -7.56958  0.00947889
         243    -7.57255     -7.5696  0.00943989
         244    -7.60596    -7.56974  0.00940237
         245      -7.606    -7.56989  0.00936516
         246    -7.58811    -7.56997  0.00932738
         247     -7.6168    -7.57016  0.00929155
         248    -7.54976    -7.57007  0.00925445
         249    -7.45887    -7.56963  0.00922805
         250    -7.39175    -7.56892  0.00921853
         251    -7.26783    -7.56772  0.00925951
         252    -7.29912    -7.56665  0.00928391
         253    -7.38121    -7.56592   0.0092761
         254    -7.43545     -7.5654  0.00925379
         255    -7.40284    -7.56477  0.00923944
         256    -7.40217    -7.56413  0.00922515
         257    -7.42428    -7.56359  0.00920529
         258     -7.4096    -7.56299  0.00918894
         259    -7.49643    -7.56273  0.00915705
         260    -7.50611    -7.56252  0.00912442
         261     -7.5282    -7.56238  0.00909041
         262    -7.58158    -7.56246  0.00905601
         263    -7.54119    -7.56238  0.00902194
         264    -7.58864    -7.56248  0.00898831
         265     -7.5153     -7.5623  0.00895616
         266    -7.55984    -7.56229  0.00892249
         267    -7.59301     -7.5624  0.00888981
         268    -7.54061    -7.56232  0.00885702
         269     -7.5795    -7.56239  0.00882432
         270    -7.55254    -7.56235  0.00879171
         271    -7.62491    -7.56258   0.0087623
         272    -7.59607     -7.5627  0.00873095
         273    -7.56819    -7.56272  0.00869899
         274    -7.59645    -7.56285  0.00866812
         275     -7.6083    -7.56301  0.00863817
         276    -7.55023    -7.56297    0.008607
         277     -7.5027    -7.56275  0.00857868
         278    -7.46778    -7.56241  0.00855462
         279    -7.50207    -7.56219  0.00852669
         280    -7.54662    -7.56213  0.00849642
         281    -7.57473    -7.56218   0.0084663
         282    -7.59688     -7.5623  0.00843717
         283    -7.48843    -7.56204  0.00841139
         284    -7.39051    -7.56144  0.00840343
         285    -7.42414    -7.56096  0.00838775
         286    -7.47531    -7.56066  0.00836376
         287    -7.49246    -7.56042    0.008338
         288    -7.44789    -7.56003  0.00831819
         289    -7.47234    -7.55972  0.00829494
         290    -7.47324    -7.55943   0.0082717
         291    -7.48066    -7.55916   0.0082477
         292    -7.43771    -7.55874  0.00822994
         293    -7.37902    -7.55813  0.00822467
         294    -7.38141    -7.55753  0.00821863
         295    -7.49772    -7.55732  0.00819327
         296    -7.47487    -7.55704  0.00817032
         297     -7.4095    -7.55655   0.0081579
         298    -7.44735    -7.55618  0.00813875
         299    -7.46151    -7.55586  0.00811769
         300    -7.50336    -7.55569  0.00809252
         301     -7.4912    -7.55547  0.00806847
         302    -7.48087    -7.55523  0.00804553
         303    -7.45122    -7.55488   0.0080263
         304    -7.46356    -7.55458  0.00800552
         305    -7.41772    -7.55414  0.00799183
         306     -7.4878    -7.55392  0.00796866
         307    -7.49419    -7.55372  0.00794508
         308    -7.49283    -7.55353  0.00792174
         309    -7.47039    -7.55326  0.00790067
         310    -7.50618    -7.55311  0.00787664
         311    -7.46842    -7.55283  0.00785602
         312    -7.48659    -7.55262  0.00783371
         313    -7.48835    -7.55242  0.00781137
         314    -7.47219    -7.55216  0.00779067
