# generation:     mean_loss:           best_loss:
1                  2471.98                  2194.51
2                  2260.35                   2046.4
3                  2106.06                  1940.92
4                  1971.16                  1818.17
5                  1853.17                   1722.9
6                  1747.13                  1573.48
7                  1618.64                  1512.68
8                  1536.55                  1455.36
9                  1476.81                  1396.12
10                  1411.64                  1341.08
11                  1356.35                  1275.66
12                  1293.48                  1243.52
13                  1254.07                  1202.92
14                  1222.33                  1164.89
15                  1180.04                  1112.88
16                  1134.57                  1058.76
17                  1079.05                  1025.89
18                  1038.99                   985.55
19                  1004.16                  935.436
20                  955.904                    912.1
21                  920.975                  880.983
22                  892.985                  842.847
23                  855.647                   819.63
24                  829.056                   801.43
25                  807.151                  780.201
26                  787.392                   762.81
27                  769.253                  749.603
28                  753.874                  720.264
29                  727.049                  706.702
30                  713.395                  696.764
31                  700.159                  681.175
32                  689.179                  660.053
33                  671.732                  640.867
34                   649.66                  609.435
35                  620.617                   600.35
36                  604.367                  582.975
37                  591.048                  559.639
38                  570.611                  549.566
39                  554.174                  538.576
40                  543.165                  528.155
41                   531.93                   520.03
42                  524.511                  512.405
43                  516.928                  497.865
44                  508.461                   488.54
45                  494.752                  477.513
46                  483.507                  470.245
47                   473.06                  465.647
48                  467.776                  455.299
49                  457.884                  453.248
50                  454.145                  445.559
51                    448.6                   442.66
52                  444.039                  436.492
53                  440.556                  416.605
54                  427.779                  408.676
55                  412.806                  403.931
56                  406.621                  398.219
57                  402.308                  389.542
58                   398.97                  377.276
59                  386.777                  368.963
60                   375.31                  355.009
61                  363.268                  349.711
62                   352.26                  344.554
63                  346.759                  334.177
64                  341.078                  331.626
65                  334.344                  331.228
66                  331.456                  330.373
67                  330.661                  316.454
68                  323.436                  300.608
69                  309.297                  297.835
70                  299.103                  293.175
71                  294.845                  289.362
72                  290.968                  284.211
73                  286.023                  281.747
74                    282.7                  275.216
75                   279.44                  274.794
76                  275.633                  274.326
77                  274.499                  263.098
78                  270.227                  260.337
79                  263.162                  247.712
80                  258.455                  243.156
81                  247.763                  235.737
82                  240.146                  234.138
83                  235.121                  232.431
84                  233.393                  230.357
85                  231.454                  228.776
86                  229.313                  224.357
87                  225.982                  221.288
88                  222.423                  218.348
89                  219.735                  214.443
90                  215.721                  213.659
91                  214.133                  212.082
92                  212.839                  212.082
93                  212.074                  209.671
94                  211.056                  207.739
95                  208.902                  204.998
96                  205.861                   198.68
97                  202.663                  197.775
98                  198.256                   195.16
99                  196.861                  192.986
100                   194.11                  190.729
101                  192.059                  185.374
102                  187.149                  183.772
103                   184.64                  182.891
104                  183.299                  182.197
105                  182.664                  179.264
106                  181.047                  177.669
107                  178.565                  175.717
108                  176.726                   175.17
109                  175.429                  174.709
110                  174.936                  174.243
111                   174.47                  173.055
112                  173.526                    170.1
113                  171.669                  168.776
114                  169.507                   168.36
115                  168.627                  167.898
116                  168.214                  167.344
117                  167.735                  166.912
118                  167.144                  166.888
119                  166.898                  166.245
120                  166.647                  165.073
121                  165.765                  164.759
122                  164.943                  164.016
123                  164.413                  163.934
124                  163.929                  161.457
125                  162.512                  160.632
126                  160.734                  152.368
127                  156.728                  151.038
128                  151.544                  149.894
129                  150.301                   147.86
130                  149.024                  147.042
131                  147.466                  146.311
