# generation:     mean_loss:           best_loss:
1                  2522.18                  2199.29
2                  2268.65                  2064.91
3                   2094.4                  1868.95
4                  1929.94                  1748.04
5                  1794.33                  1581.04
6                  1650.75                   1492.9
7                  1527.49                  1444.72
8                  1466.02                  1398.81
9                  1419.49                  1351.47
10                  1363.84                  1290.62
11                  1312.08                     1241
12                  1254.52                  1176.13
13                  1191.64                  1124.68
14                  1148.21                  1097.95
15                   1112.2                  1057.81
16                  1078.73                  1039.89
17                  1051.65                  1003.34
18                  1027.01                  969.677
19                  1002.58                  964.093
20                   967.12                  940.354
21                  953.171                  915.196
22                  933.832                  893.971
23                  912.663                  881.459
24                  888.151                  871.038
25                  878.139                  859.522
26                  864.535                  829.791
27                  846.149                  821.029
28                  826.416                  794.296
29                  804.816                  777.958
30                  785.865                  737.225
31                  750.882                  700.267
32                  720.803                  686.352
33                  694.906                  669.956
34                  676.537                  640.968
35                  652.273                  608.508
36                  622.072                  590.959
37                   596.49                  578.489
38                  584.197                  542.219
39                  562.339                  523.461
40                  531.135                   520.21
41                  521.534                  503.792
42                  512.431                  494.754
43                  497.986                  487.434
44                  490.988                  480.152
45                  483.991                  469.041
46                  475.402                  458.005
47                  463.774                  452.264
48                  454.937                  448.476
49                  450.348                   442.16
50                  445.315                  432.293
51                  436.372                  425.657
52                  428.288                  419.262
53                  422.077                  413.787
54                  416.119                  406.177
55                  409.903                  403.259
56                  404.561                  394.861
57                   398.73                  390.597
58                  392.543                  384.631
59                  386.544                  378.925
60                  381.172                  369.222
61                  373.534                   361.13
62                  365.649                  328.267
63                  343.185                  323.942
64                  326.214                  307.206
65                   316.36                  296.595
66                  301.322                  287.522
67                   292.57                  280.123
68                  284.312                  279.187
69                  279.627                  275.429
70                   278.42                  264.765
71                   271.62                  254.278
72                  259.229                  251.268
73                  252.445                   242.09
74                  245.125                  236.983
75                  238.778                  230.602
76                  234.053                   225.26
77                  228.478                  223.672
78                  224.482                  219.161
79                  221.639                  217.933
80                  218.585                  213.558
81                  216.053                  213.304
82                  213.438                  211.664
83                  212.469                  208.257
84                   210.05                  204.501
85                  206.192                  199.984
86                  201.104                  199.771
87                  199.864                  197.039
88                  199.042                  193.853
89                  196.198                  189.317
90                  192.041                  185.672
91                  186.699                  182.811
92                  184.439                  182.811
93                  182.809                  182.073
94                  182.536                  177.563
95                  179.975                  170.922
96                  174.654                  166.904
97                  169.123                  163.945
98                  165.682                  161.312
99                  162.415                  156.231
100                  158.486                  154.181
101                  155.575                  151.082
102                  152.338                  150.275
103                  150.803                  148.482
104                  149.464                  147.064
105                  147.709                  145.923
106                  146.547                  144.174
107                  145.338                  143.105
108                  143.716                  140.942
109                  142.034                  139.873
110                  140.015                  139.125
111                  139.308                  137.029
112                  137.534                  135.406
113                  135.784                  134.127
114                  134.888                  131.054
115                  132.672                  130.746
116                  130.856                  129.715
117                  130.205                  126.846
118                  128.337                  125.815
119                  126.044                  125.506
120                  125.579                  125.298
121                  125.368                  124.684
122                  124.995                  123.986
123                  124.302                  122.912
124                  123.406                  122.912
125                  122.908                  121.377
126                  122.477                  121.377
127                   121.48                  121.377
128                  121.377                  121.377
129                  121.375                  120.448
130                  120.919                  119.536
131                  119.968                  117.857
132                  118.878                  115.524
133                  116.623                   113.96
134                  114.534                  112.716
135                  113.233                  112.716
136                  112.716                  112.716
137                  112.716                  112.686
138                    112.7                  111.904
139                    112.3                  111.174
140                  111.535                   108.99
141                  110.477                   108.29
142                    108.7                   108.29
143                   108.29                   108.29
144                   108.29                   108.29
145                   108.29                   108.29
146                  108.287                  106.624
147                  107.733                  106.557
148                  106.836                  106.557
149                  106.557                  106.557
150                  106.551                   103.86
151                  105.974                   103.86
152                  104.194                  103.526
153                  103.729                    103.3
154                  103.434                  103.122
155                  103.208                  102.879
156                  102.936                  101.347
157                  102.176                  101.239
158                  101.299                  101.239
159                  101.239                  101.013
160                  101.143                  99.9635
161                  100.777                   98.952
162                  99.8344                   98.952
163                   98.952                   98.952
164                   98.952                   98.952
165                   98.952                   98.952
