# generation:     mean_loss:           best_loss:
1                  2516.44                  2210.09
2                  2268.69                  2026.98
3                  2080.58                  1886.98
4                  1918.96                  1719.29
5                  1756.37                   1632.3
6                  1662.81                  1559.65
7                  1577.97                  1492.18
8                  1524.44                  1436.44
9                  1465.69                  1341.74
10                   1366.6                  1312.14
11                  1324.32                  1238.46
12                  1263.88                  1149.42
13                   1182.4                  1073.65
14                  1100.83                   1010.5
15                  1035.39                  952.209
16                  979.757                  929.485
17                   942.64                   906.24
18                  916.697                  849.098
19                   881.51                  825.853
20                  831.672                  812.718
21                  819.438                  796.134
22                  804.971                  765.522
23                  780.507                  719.002
24                  741.296                  694.252
25                  707.094                  658.737
26                  676.593                  629.648
27                  645.989                   612.55
28                  622.165                  607.875
29                   610.12                  592.325
30                  601.303                  586.623
31                  589.388                  577.361
32                  581.322                  540.566
33                  562.337                  515.514
34                  531.654                  486.053
35                  499.255                  480.207
36                   483.22                  473.087
37                  476.588                  458.418
38                  465.718                  440.511
39                  449.676                  415.485
40                  430.181                  397.745
41                   407.86                  384.006
42                  392.847                  379.801
43                  383.768                  375.771
44                  378.717                  369.855
45                  373.231                  367.724
46                  368.821                  363.754
47                  365.317                  359.829
48                  361.879                  354.859
49                  357.016                  348.695
50                  351.322                  344.739
51                  346.457                  326.079
52                  336.372                  324.242
53                  325.047                  317.535
54                  322.807                  309.761
55                  318.477                  306.653
56                  308.632                  305.376
57                  305.801                  301.337
58                  303.231                  295.449
59                  297.829                   291.07
60                  292.501                  284.258
61                  286.805                  279.315
62                  281.394                  278.429
63                  280.059                  273.862
64                  277.895                  272.328
65                  273.476                   269.87
66                  271.253                  266.128
67                  267.843                  260.459
68                  262.941                  255.089
69                   258.16                  252.364
70                  253.855                  241.429
71                  247.663                  238.937
72                  240.058                  237.143
73                  238.031                  236.131
74                  236.536                   221.09
75                  229.048                  211.076
76                  215.394                  205.758
77                  208.689                  202.849
78                  203.935                  199.228
79                   201.52                  198.298
80                  198.719                  197.921
81                  198.076                  195.358
82                  197.202                  194.014
83                  195.432                  191.074
84                  192.748                  188.433
85                   189.76                  174.454
86                  181.724                  169.966
87                  172.212                  164.398
88                  167.109                  161.325
89                  162.676                  158.153
90                  159.783                  155.513
91                  156.671                  151.519
92                  152.879                  149.621
93                  150.553                  142.924
94                  146.719                  141.814
95                  142.363                  139.123
96                  140.532                  136.874
97                  137.966                  135.265
98                  136.006                  132.366
99                  133.522                  128.278
100                  130.732                   125.35
101                  126.642                  124.267
102                  124.703                  122.776
103                  123.407                  121.262
104                   121.46                  118.655
105                  119.881                  116.931
106                  117.818                  116.499
107                  116.602                  116.313
108                  116.391                  113.063
109                  114.564                   111.11
110                  111.652                  109.575
111                  110.047                  108.942
112                  109.257                  108.497
113                  108.674                  107.958
114                  108.183                  107.868
115                  107.911                  106.439
116                  107.176                  105.588
117                  105.976                  104.103
118                  104.654                  102.358
119                  102.969                  100.154
120                  100.932                  99.6622
121                  99.9007                  98.7912
122                  99.2752                  98.7912
123                  98.7894                  97.8956
124                  98.4797                  97.5306
125                  97.8422                  95.5797
126                  96.6101                  93.7447
127                  94.6645                  93.4049
128                  93.3563                  90.6295
129                  91.2995                  90.6295
130                  90.6286                  90.1927
131                  90.4351                  90.1927
132                  90.1915                  89.6047
133                  89.9306                  89.4474
134                  89.5344                  88.1191
135                   88.906                    87.02
136                   87.583                  86.6805
137                  86.7925                  85.5814
138                  85.7794                  84.7977
139                  85.2505                  84.7977
140                  84.7967                  84.3489
141                  84.5687                  84.1917
142                  84.2763                   83.943
143                  84.0609                  83.6455
144                  83.8309                  83.2396
145                  83.5026                  83.2396
146                  83.2396                  83.2396
147                  83.2396                  83.2396
