# generation:     mean_loss:           best_loss:
1                  2456.13                  2126.06
2                  2186.68                  1845.03
3                  1902.01                  1726.04
4                  1761.81                   1641.6
5                  1680.78                  1547.25
6                  1582.47                  1455.61
7                  1479.86                  1378.89
8                  1385.79                  1265.53
9                  1293.85                  1243.05
10                  1249.93                  1187.11
11                  1202.16                  1113.54
12                  1139.22                   1070.9
13                  1090.42                  1043.32
14                  1054.39                  1016.37
15                  1026.81                  989.963
16                  1001.37                  959.487
17                  972.858                  929.977
18                  938.308                  908.034
19                  915.991                  881.302
20                  891.822                  850.415
21                  862.824                  824.316
22                  835.986                    808.4
23                  815.905                  785.958
24                  794.625                  767.189
25                  773.925                  749.266
26                  756.544                  709.407
27                  724.244                  664.931
28                  687.165                  644.706
29                  653.166                  618.512
30                  630.337                  599.992
31                  605.115                  588.161
32                  592.354                  563.162
33                  572.374                  549.835
34                  556.589                  536.637
35                  539.547                  516.383
36                  526.726                  503.452
37                  511.997                  485.426
38                   494.89                  477.866
39                  483.465                   471.66
40                  474.764                  464.923
41                  467.503                  452.905
42                  457.721                  436.517
43                  442.923                  418.172
44                  425.483                  406.275
45                  411.556                   386.83
46                  396.898                  373.896
47                  380.268                   366.21
48                  370.206                  359.326
49                   362.04                  352.968
50                  355.655                  340.071
51                  345.687                  326.782
52                  332.577                  320.732
53                  323.504                  303.092
54                  312.793                  297.565
55                  299.363                  279.259
56                   288.79                  275.961
57                    277.5                  270.881
58                  273.077                  267.558
59                  268.015                  256.246
60                  262.368                  255.791
61                  255.962                   244.12
62                  251.234                  241.267
63                  244.382                  238.363
64                  240.386                  231.321
65                  234.602                  224.599
66                  227.057                  218.062
67                  221.913                  215.884
68                   217.21                  211.992
69                  213.922                   208.49
70                  210.249                  206.297
71                  207.389                   204.27
72                   205.21                  196.434
73                  200.505                  188.928
74                  191.618                  188.288
75                  188.642                  187.856
76                  188.073                  184.041
77                  186.305                  179.801
78                  182.002                  178.711
79                  179.341                  178.018
80                  178.335                  177.739
81                  177.863                  175.837
82                  177.008                  174.251
83                  175.369                  172.405
84                  173.341                   169.48
85                  171.302                   169.48
86                  169.478                  168.535
87                  169.079                    165.8
88                  167.429                  164.061
89                   164.89                  162.871
90                  163.541                  162.717
91                  162.806                  162.187
92                   162.47                  160.958
93                  161.716                  159.429
94                  159.927                  158.653
95                  158.852                  158.123
96                   158.23                  157.408
97                  157.838                  157.408
98                  157.405                  156.445
99                  156.938                  151.796
100                  154.858                  151.064
101                  151.597                  150.486
102                   150.82                  147.357
103                  149.208                  145.525
104                  146.627                  145.387
105                  145.467                  145.387
106                  145.383                  143.801
107                  144.724                  142.479
108                  142.906                   141.06
109                  141.744                  138.886
110                   139.66                  137.352
111                   138.03                  136.703
112                  137.039                  136.638
113                  136.659                  135.238
114                  135.958                  134.338
115                  134.803                  133.834
116                  134.143                  133.531
117                   133.71                  133.531
118                  133.529                  132.782
119                  133.186                  132.782
120                  132.782                  132.782
121                  132.781                  132.358
122                  132.576                  129.723
123                  131.285                  128.514
124                  129.027                  127.683
125                  128.052                  127.625
126                  127.655                  126.901
127                  127.245                  126.901
128                  126.901                  126.547
129                  126.736                  124.848
130                  125.675                  124.848
131                  124.846                  123.913
132                  124.414                  122.065
133                  123.039                   120.11
134                  121.186                  120.066
135                  120.068                  118.427
136                  119.193                  117.712
137                  118.131                  117.222
138                  117.494                  117.066
139                  117.139                  117.066
140                  117.066                  117.066
141                  117.066                  117.066
142                  117.066                  117.066
143                  117.065                   116.49
144                  116.854                  115.974
145                  116.275                  115.662
146                  115.817                  115.662
147                  115.662                  115.645
148                  115.654                  115.645
149                  115.645                  115.645
150                  115.645                  115.645
151                  115.645                  115.645
152                  115.645                  115.521
153                  115.598                  115.521
154                  115.521                  115.521
155                  115.517                   114.01
156                   114.84                   114.01
157                   114.01                   114.01
158                   114.01                   114.01
159                   114.01                   114.01
160                   114.01                   114.01
161                   114.01                   114.01
162                   114.01                  113.708
163                  113.885                  113.708
164                  113.708                  113.673
165                   113.69                  112.677
166                  113.305                  112.202
167                  112.418                  112.065
168                  112.137                  111.892
169                   111.95                  111.643
170                  111.767                  111.313
171                  111.447                  110.718
172                  111.089                   110.66
173                  110.697                   110.66
174                   110.66                   110.66
175                   110.66                   110.66
176                   110.66                   110.48
177                  110.583                  110.393
178                  110.436                  110.393
179                  110.393                  110.351
180                  110.377                  110.351
181                  110.351                  110.351
182                  110.351                  110.351
183                  110.351                  110.351
184                  110.351                  110.351
185                  110.351                  110.351
186                  110.351                  110.351
187                  110.351                  110.351
188                   110.35                  109.862
189                  110.117                  109.862
190                  109.862                  109.862
191                  109.862                  109.862
192                  109.862                  109.826
193                  109.836                  107.588
194                  108.743                  107.588
195                  107.588                  107.522
196                  107.557                  107.022
197                  107.335                  107.022
198                  107.022                  107.022
199                  107.022                  107.022
200                  107.022                  107.022
201                  107.022                  107.022
202                  107.022                  107.022
203                  107.022                  107.022
204                  107.022                  107.022
205                  107.022                  107.022
206                  107.022                  106.837
207                  106.953                  106.815
208                   106.83                  106.466
209                  106.697                  106.259
210                    106.3                  106.259
211                  106.258                  106.006
212                  106.152                  105.997
213                  106.001                  105.595
214                  105.828                  105.595
215                  105.595                  105.595
216                  105.595                  105.595
217                  105.595                  105.595
218                  105.595                  105.595
219                  105.595                  105.595
220                  105.595                  105.595
221                  105.595                  105.595
222                  105.592                  104.445
223                   105.17                  104.445
224                  104.445                  104.445
225                  104.445                  104.445
226                  104.445                  104.445
227                  104.445                  104.445
228                  104.445                  104.445
229                  104.443                  103.684
230                  104.107                  103.684
231                  103.684                  103.684
232                  103.684                  103.684
233                  103.684                  103.456
234                  103.587                  103.456
235                  103.448                  101.737
236                  102.582                  101.737
237                  101.737                  101.717
238                  101.727                  101.625
239                  101.702                  101.605
240                  101.708                  101.605
241                  101.605                  101.605
242                  101.605                  101.605
243                  101.605                  101.605
244                  101.605                  101.491
245                  101.555                  101.491
246                  101.491                  101.491
247                  101.491                  101.491
248                  101.491                  101.491
249                  101.491                  101.491
250                  101.491                  101.491
251                  101.491                  101.491
252                  101.491                  101.491
253                  101.491                  101.491
254                   101.49                  100.993
255                  101.281                  100.993
256                  100.993                  100.993
257                  100.993                  100.993
258                  100.993                  100.993
259                  100.993                  100.993
260                  100.993                  100.993
261                  100.993                  100.993
262                  100.993                  100.993
263                  100.993                  100.832
264                  100.918                  100.524
265                   100.71                  100.363
266                  100.408                  100.363
267                  100.363                  100.363
268                  100.363                  100.363
269                  100.363                  100.363
270                  100.363                  100.363
271                  100.363                  100.363
272                  100.363                  100.363
273                  100.361                  99.7138
274                  100.078                  99.7138
275                  99.7138                  99.7138
276                  99.7138                  99.7138
277                  99.7135                  99.5904
278                  99.6648                  99.5358
279                   99.566                  99.5358
280                  99.5358                  99.5358
281                  99.5358                  99.5358
282                  99.5358                  99.5358
283                  99.5358                  99.5358
284                   99.535                  99.1112
285                  99.3657                  99.1112
286                  99.1112                  99.1112
287                  99.1109                  98.9601
288                  99.0421                  98.7133
289                  98.8418                  98.5858
290                  98.6546                  98.5858
291                  98.5858                  98.5858
292                  98.5858                  98.5858
293                  98.5858                  98.5858
294                  98.5858                  98.5858
295                  98.5858                  98.5858
296                  98.5858                  98.5858
297                  98.5858                  98.5858
298                  98.5858                  98.5858
299                  98.5858                  98.5858
300                  98.5858                  98.5858
301                  98.5858                  98.5858
302                  98.5853                  98.2871
303                   98.443                  98.2871
304                  98.2871                  98.2871
305                  98.2871                  98.2871
306                  98.2871                  98.2871
307                  98.2871                  98.2871
308                  98.2871                  98.2871
309                  98.2871                  98.2871
310                  98.2871                  98.2871
311                  98.2871                  98.2871
312                  98.2871                  98.2871
313                  98.2867                  98.1247
314                  98.2115                  98.0864
315                  98.1093                  98.0864
316                  98.0864                  98.0864
317                  98.0864                  98.0864
318                  98.0864                  98.0864
319                  98.0864                  98.0864
320                  98.0864                  98.0864
321                  98.0864                  98.0864
322                  98.0864                  98.0864
323                  98.0864                  98.0864
324                  98.0864                  98.0864
325                  98.0864                  98.0864
326                  98.0864                  98.0864
327                  98.0864                  98.0864
328                  98.0864                  98.0864
329                  98.0864                  98.0864
330                  98.0864                  98.0864
331                  98.0864                  98.0864
332                  98.0864                  98.0864
333                  98.0864                  98.0864
334                  98.0864                  98.0864
335                  98.0864                  98.0864
336                  98.0864                  98.0864
337                  98.0864                  98.0864
338                  98.0864                  98.0864
339                  98.0863                  98.0052
340                  98.0525                  98.0052
341                  98.0052                  98.0052
342                  98.0052                  98.0052
343                  98.0052                  98.0052
344                  98.0052                  98.0052
345                  98.0052                  98.0052
346                  98.0052                  98.0052
347                  98.0052                  98.0052
348                  98.0052                  98.0052
349                  98.0052                  98.0052
350                  98.0052                  98.0052
351                  98.0052                  98.0052
352                  98.0052                  98.0052
353                  98.0052                  98.0052
354                  98.0052                  98.0052
355                  98.0052                  98.0052
356                  98.0052                  98.0052
357                  98.0052                  98.0052
358                  98.0052                  98.0052
359                  98.0052                  98.0052
360                  98.0052                  98.0052
361                  98.0052                  98.0052
362                  98.0052                  98.0052
363                  98.0052                  98.0052
364                  98.0052                  98.0052
365                  98.0052                  98.0052
366                  98.0052                  98.0052
367                  98.0052                  98.0052
368                  98.0052                  98.0052
369                  98.0052                  98.0052
370                  98.0052                  98.0052
371                  98.0052                  98.0052
372                  98.0052                  98.0052
373                  98.0052                  98.0052
374                  98.0052                  98.0052
375                  98.0052                  98.0052
376                  98.0052                  98.0052
377                  98.0052                  98.0052
378                  98.0052                  98.0052
379                  98.0052                  98.0052
380                  98.0052                  98.0052
381                  98.0052                  98.0052
382                  98.0052                  98.0052
383                  98.0052                  98.0052
384                  98.0052                  98.0052
385                  98.0052                  98.0052
386                  98.0052                  98.0052
387                  98.0052                  98.0052
388                  98.0052                  98.0052
389                  98.0052                  98.0052
390                  98.0052                  98.0052
391                  98.0052                  98.0052
392                  98.0052                  98.0052
393                  98.0052                  98.0052
394                  98.0052                  98.0052
395                  98.0052                  98.0052
396                  98.0052                  98.0052
397                  98.0052                  98.0052
398                  98.0052                  98.0052
399                  98.0052                  98.0052
400                  98.0052                  98.0052
401                  98.0052                  98.0052
402                   98.005                  97.9123
403                  97.9632                   97.896
404                  97.9046                   97.896
405                   97.896                   97.896
406                   97.896                   97.896
407                   97.896                   97.896
408                   97.896                   97.896
409                   97.896                   97.896
410                   97.896                   97.896
411                   97.896                   97.896
412                   97.896                   97.896
413                  97.8953                  97.5605
414                  97.7531                  97.5605
415                  97.5605                  97.5605
416                  97.5605                  97.5605
417                  97.5605                  97.5605
418                  97.5605                  97.5605
419                  97.5605                  97.5605
