1                  2594.08                  2129.19
2                  2319.88                  2033.36
3                  2120.54                  1883.74
4                   1981.2                  1727.49
5                  1850.18                   1530.9
6                  1692.71                  1483.51
7                  1544.15                  1331.84
8                  1411.42                  1228.16
9                  1308.18                  1193.15
10                  1241.63                  1099.02
11                  1169.81                   1023.9
12                  1093.54                  918.349
13                   1011.6                  905.836
14                  945.068                  891.452
15                  910.178                  875.022
16                  894.114                  861.921
17                  880.098                  848.715
18                  866.816                  821.367
19                  849.605                  806.838
20                  823.788                  772.162
21                  801.838                  740.465
22                   774.86                  704.869
23                  744.101                  692.828
24                  716.956                  663.544
25                  693.105                  645.856
26                  669.943                  624.536
27                  646.131                  600.864
28                   625.03                  588.454
29                  606.725                  581.033
30                  594.367                  571.269
31                  584.723                  551.073
32                  573.256                  531.565
33                  558.233                  512.355
34                   535.48                  466.327
35                  509.431                  459.543
36                   481.51                  453.935
37                   462.31                  437.579
38                  452.344                  433.685
39                  442.429                  427.769
40                  435.964                  408.372
41                  426.232                  402.852
42                  413.916                  386.675
43                  403.827                  380.425
44                  394.661                  361.206
45                  380.946                  358.585
46                  367.603                  355.304
47                  358.995                  344.377
48                  354.195                  338.081
49                  347.079                  335.777
50                   339.91                  328.423
51                  335.073                  323.176
52                  329.443                  317.509
53                  324.806                  310.843
54                  319.786                   306.38
55                   314.62                   304.42
56                  309.537                   296.89
57                  307.015                  293.054
58                  304.424                  287.973
59                  299.852                  283.053
60                  290.935                  277.957
61                  285.027                  275.249
62                  280.751                  271.833
63                  278.515                  266.297
64                   275.72                  261.076
65                  271.143                  258.937
66                  265.996                  256.138
67                  260.246                  251.439
68                   257.05                  250.253
69                  253.811                  248.136
70                  251.272                  245.481
71                  249.213                  242.177
72                  246.685                  237.942
73                  243.324                  234.769
74                  239.078                  231.238
75                  236.218                  231.238
76                  234.049                  225.911
77                  232.115                  217.712
78                  229.926                  217.566
79                  223.598                   214.21
80                  219.159                  208.647
81                  215.351                  204.977
82                  212.252                  203.411
83                  209.725                  201.231
84                  207.712                  199.488
85                  205.055                  198.686
86                  201.027                   194.57
87                  199.365                  188.847
88                   197.72                  187.576
89                  193.581                  186.674
90                  189.379                  182.753
91                  186.599                  182.674
92                  184.298                  179.133
93                  182.281                   176.89
94                  180.276                  174.968
95                  178.152                   173.04
96                  175.941                  168.465
97                  173.627                  166.543
98                  171.087                  165.408
99                  168.095                  165.408
100                  167.035                  162.964
101                  165.643                  160.762
102                  163.805                  158.318
103                  162.348                  157.946
104                   159.39                    153.3
105                  156.877                  152.772
106                  154.397                   151.53
107                  152.711                  150.583
108                  151.713                  150.583
109                  150.865                  150.555
110                  150.574                  148.411
111                  150.232                  147.444
112                  149.146                  146.338
113                  147.663                  146.097
114                  147.006                  144.803
115                  146.655                  143.697
116                  145.834                  142.313
117                  143.941                  141.151
118                  142.666                  139.843
119                  141.677                  137.382
120                  140.185                  134.107
121                  137.862                  133.784
122                  135.815                   133.67
123                  134.219                  133.347
124                   133.66                  132.757
125                  133.348                  132.217
126                  132.959                  131.058
127                  132.365                  129.167
128                  130.992                   128.73
129                  129.719                  128.191
130                  128.827                  128.191
131                  128.407                  128.191
132                  128.185                  126.847
133                  128.022                  126.847
134                  127.643                  125.201
135                  127.289                  125.199
136                  126.747                  125.199
137                  126.022                  125.113
138                  125.207                  122.526
139                  124.735                  121.546
140                  123.428                   118.96
141                  121.601                  118.371
142                  119.837                  116.543
143                  118.847                  116.197
144                  117.356                  115.826
145                  116.605                  114.528
146                  115.846                  113.541
147                  114.739                  113.195
148                  113.903                  112.657
149                  113.241                  110.648
150                   112.64                  109.691
151                  111.231                  109.153
152                  110.175                   108.54
153                  109.345                  107.015
154                  108.585                  106.915
155                  108.023                  105.882
156                  106.689                  105.882
157                  106.053                  104.696
158                  105.669                  104.644
159                  105.098                   103.73
160                  104.532                  101.219
161                   103.69                  100.779
162                  102.068                  100.779
163                  100.984                  99.0584
164                  100.706                  99.0584
165                  100.616                  98.1055
166                  100.495                  98.1055
167                  98.7456                   98.014
168                  98.1701                   98.014
169                  98.0497                   98.014
170                  98.0121                  97.0447
171                  97.8798                  96.3982
172                  97.3373                  95.3375
173                  96.4466                  95.3375
174                  95.5618                   94.187
175                  95.2732                   94.187
176                  95.0549                   94.187
177                  94.4724                  93.0418
178                  94.0107                  93.0418
179                  93.4586                  93.0418
180                  93.0418                  93.0418
181                  93.0418                  93.0418
182                  93.0418                  93.0418
183                  93.0379                  92.2231
184                  92.8913                  91.6596
185                   92.415                  91.6238
186                  91.9146                  91.0603
187                  91.5032                  90.9048
188                  91.1555                  90.6441
189                  90.9132                  90.2141
190                  90.7638                  87.8298
191                  90.9468                  87.8298
192                  92.2732                  87.8298
193                  89.9122                  87.8298
194                  88.0813                  87.8298
195                  87.8288                  87.3593
196                  87.7658                  87.3584
197                  87.5368                  86.2816
198                  87.3101                  85.9381
199                   87.068                   84.605
200                  87.0215                  84.1842
