#     Temp:      mu:     sigma:      H:
0.0225             0.72746            0.594061           -0.431975
0.022            0.753059            0.593185           -0.423498
0.0215            0.764703            0.619398           -0.440442
0.021            0.761237            0.598851           -0.429789
0.0205            0.839427             0.58574           -0.412606
0.02            0.809274            0.587141           -0.452542
0.0195            0.774333            0.597613           -0.433256
0.019            0.773184            0.601951           -0.393995
0.0185            0.814667            0.636416           -0.442569
0.018            0.865907            0.583097           -0.367817
0.0175            0.844022            0.647612           -0.416877
0.017            0.818355            0.580512           -0.433444
0.0165            0.791077            0.636912           -0.412502
0.016            0.792642            0.639789           -0.380622
0.0155            0.786221             0.67118           -0.433021
0.015             0.84083            0.671444           -0.429486
0.0145            0.823872            0.676143           -0.357581
0.014            0.847835            0.649966           -0.378017
0.0135            0.816006             0.60559            -0.44478
0.013            0.824352            0.603601           -0.431949
0.0125            0.819923            0.617818           -0.453147
0.012            0.781966            0.707579           -0.400323
0.0115            0.818631            0.674918           -0.395855
0.011            0.802248            0.635135           -0.444244
0.0105            0.732828            0.656041           -0.400681
0.01            0.737072            0.635758           -0.402164
0.0095            0.788977            0.666234           -0.428073
0.009            0.756062            0.634491           -0.430766
0.0085            0.803499              0.6073            -0.42606
0.008            0.755072             0.65158            -0.40964
0.0075            0.785674            0.644114           -0.428117
0.007            0.814654            0.646416           -0.426859
0.0065            0.831608            0.651495            -0.43903
0.006            0.831608            0.651495           -0.447402
0.0055            0.860443            0.629425           -0.420831
0.005             0.86257            0.598276           -0.387833
0.0045            0.814161             0.63267            -0.43815
0.004            0.809876            0.636534           -0.427783
0.0035            0.727154             0.64497           -0.427702
0.003            0.774133            0.595273             -0.4394
0.0025            0.754791            0.604922           -0.446938
0.002            0.800432            0.614371           -0.442208
0.0015            0.837512             0.60374           -0.407733
0.001            0.816327            0.614346           -0.434382
0.0005            0.763782            0.671561           -0.437974
