#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.387237   -0.410509  0.00441505
         153   -0.375091   -0.410277  0.00439226
         154   -0.361369    -0.40996  0.00437521
         155   -0.421874   -0.410036  0.00434766
         156    -0.43174   -0.410176  0.00432201
         157    -0.44798   -0.410416  0.00430119
         158    -0.48032   -0.410859  0.00429666
         159   -0.421248   -0.410924  0.00427013
         160   -0.485977   -0.411393  0.00426913
         161   -0.444266   -0.411597  0.00424749
         162   -0.431115   -0.411718  0.00422298
         163   -0.462129   -0.412027  0.00420838
         164   -0.425177   -0.412107  0.00418349
         165   -0.422227   -0.412169  0.00415858
         166   -0.437959   -0.412324  0.00413643
         167    -0.40954   -0.412307   0.0041117
         168   -0.502786   -0.412846  0.00412234
         169   -0.476123    -0.41322  0.00411492
         170   -0.396264   -0.413121  0.00409192
         171   -0.356663    -0.41279  0.00408129
         172    -0.37415   -0.412566  0.00406374
         173   -0.364086   -0.412286   0.0040499
         174   -0.388032   -0.412146  0.00402902
         175   -0.344477    -0.41176  0.00402451
         176   -0.403513   -0.411713  0.00400192
         177   -0.403413   -0.411666  0.00397959
         178     -0.3748   -0.411459  0.00396261
         179    -0.39255   -0.411353  0.00394188
         180   -0.398712   -0.411283  0.00392061
         181   -0.509868   -0.411827   0.0039366
         182   -0.373372   -0.411616  0.00392064
         183   -0.372565   -0.411403  0.00390502
         184   -0.388843    -0.41128  0.00388572
         185   -0.419893   -0.411327  0.00386499
         186   -0.448974   -0.411529  0.00384951
         187   -0.421473   -0.411582  0.00382929
         188   -0.399584   -0.411518  0.00380945
         189   -0.422396   -0.411576  0.00378973
         190   -0.428716   -0.411666  0.00377086
         191   -0.403253   -0.411622  0.00375138
         192   -0.510324   -0.412136   0.0037669
         193   -0.394261   -0.412044  0.00374852
         194   -0.412652   -0.412047   0.0037292
         195   -0.410554   -0.412039  0.00371008
         196   -0.448893   -0.412227  0.00369591
         197   -0.463785   -0.412489  0.00368641
         198   -0.456254    -0.41271  0.00367441
         199    -0.44111   -0.412853  0.00365871
         200   -0.561355   -0.413595    0.003715
         201   -0.526231   -0.414156  0.00373854
         202   -0.539407   -0.414776  0.00377111
         203   -0.538232   -0.415384  0.00380125
         204    -0.46813   -0.415642   0.0037914
         205   -0.483845   -0.415975  0.00378748
         206   -0.611596   -0.416925  0.00388631
         207   -0.457724   -0.417122  0.00387253
         208    -0.44799    -0.41727  0.00385676
         209   -0.463886   -0.417493  0.00384475
         210   -0.484264   -0.417811  0.00383957
         211   -0.427497   -0.417857  0.00382164
         212    -0.42768   -0.417903   0.0038039
         213   -0.422247   -0.417924  0.00378609
         214   -0.396372   -0.417823  0.00376974
         215   -0.394793   -0.417716  0.00375373
         216   -0.421943   -0.417735   0.0037364
         217   -0.466528    -0.41796  0.00372594
         218       -0.45   -0.418107  0.00371175
         219   -0.527627   -0.418607  0.00372834
         220    -0.51705   -0.419055  0.00373814
         221   -0.463073   -0.419254  0.00372653
         222   -0.383995   -0.419095  0.00371313
         223   -0.371042    -0.41888  0.00370273
         224   -0.355822   -0.418598  0.00369688
         225    -0.38049   -0.418429  0.00368433
         226   -0.432733   -0.418492  0.00366857
         227   -0.439732   -0.418586   0.0036536
         228   -0.394501    -0.41848   0.0036391
         229   -0.415161   -0.418466  0.00362324
         230   -0.438755   -0.418554  0.00360856
         231   -0.375959   -0.418369  0.00359765
         232   -0.429356   -0.418417  0.00358245
         233   -0.545718   -0.418963   0.0036085
         234   -0.517328   -0.419383  0.00361748
         235   -0.521432   -0.419818  0.00362806
         236   -0.516767   -0.420229  0.00363587
         237   -0.465201   -0.420418  0.00362547
         238   -0.463938   -0.420601  0.00361485
         239   -0.433574   -0.420655  0.00360013
         240   -0.457772    -0.42081  0.00358845
         241    -0.45183   -0.420939  0.00357587
         242   -0.396376   -0.420837  0.00356253
         243   -0.405527   -0.420774  0.00354843
         244   -0.409903    -0.42073  0.00353417
         245   -0.433854   -0.420783  0.00352015
         246   -0.435225   -0.420842  0.00350633
         247   -0.447964   -0.420952  0.00349385
         248   -0.422163   -0.420957  0.00347977
         249   -0.371779   -0.420759  0.00347139
         250   -0.492309   -0.421045  0.00346928
         251   -0.448686   -0.421156  0.00345721
         252   -0.420619   -0.421153  0.00344349
         253    -0.38042   -0.420992  0.00343364
         254   -0.385444   -0.420852  0.00342297
         255   -0.370625   -0.420655  0.00341521
         256   -0.403135   -0.420587  0.00340256
         257   -0.435394   -0.420645  0.00338981
         258   -0.445263    -0.42074  0.00337801
         259   -0.530278   -0.421163  0.00339134
         260   -0.492089   -0.421436  0.00338925
         261   -0.528607   -0.421846  0.00340105
         262   -0.518704   -0.422216   0.0034081
         263   -0.399132   -0.422128  0.00339627
         264   -0.365021   -0.421912  0.00339029
         265   -0.402843    -0.42184  0.00337826
         266   -0.382319   -0.421691  0.00336882
         267   -0.421734   -0.421692  0.00335621
         268   -0.509472   -0.422019  0.00335963
         269   -0.449143    -0.42212  0.00334865
         270   -0.428328   -0.422143  0.00333633
         271   -0.430098   -0.422172  0.00332414
         272   -0.456072   -0.422297  0.00331426
         273   -0.355619   -0.422053  0.00331111
         274   -0.425365   -0.422065  0.00329904
         275   -0.422953   -0.422068  0.00328705
         276   -0.405842   -0.422009  0.00327567
         277   -0.393671   -0.421907  0.00326544
         278   -0.329976   -0.421576  0.00327039
         279   -0.374833   -0.421409  0.00326296
         280   -0.410628    -0.42137  0.00325153
         281   -0.437565   -0.421428  0.00324047
         282    -0.37838   -0.421275  0.00323257
         283   -0.379626   -0.421128   0.0032245
         284   -0.401239   -0.421058  0.00321391
         285     -0.3549   -0.420826    0.003211
         286   -0.361318   -0.420618  0.00320651
         287   -0.446236   -0.420707  0.00319658
         288   -0.382616   -0.420575  0.00318821
         289   -0.381674    -0.42044  0.00318002
         290   -0.353958   -0.420211  0.00317731
         291    -0.39131   -0.420112  0.00316794
         292   -0.369939    -0.41994  0.00316175
         293    -0.35288   -0.419711  0.00315923
         294   -0.420989   -0.419715  0.00314849
         295   -0.338758   -0.419441  0.00314975
         296   -0.335053   -0.419156  0.00315199
         297   -0.351652   -0.418928  0.00314956
         298   -0.396367   -0.418853   0.0031399
         299   -0.356483   -0.418644  0.00313632
         300   -0.282016   -0.418189  0.00315876
         301   -0.324189   -0.417876  0.00316367
         302   -0.375037   -0.417735  0.00315637
         303   -0.362069   -0.417551  0.00315129
         304   -0.381518   -0.417432  0.00314316
         305   -0.395752   -0.417361  0.00313365
         306   -0.376219   -0.417227   0.0031263
         307   -0.376165   -0.417093  0.00311897
         308   -0.418956   -0.417099  0.00310885
         309    -0.42644   -0.417129  0.00309894
         310   -0.420422    -0.41714  0.00308896
         311   -0.423577   -0.417161   0.0030791
         312   -0.412334   -0.417145  0.00306927
         313   -0.512371   -0.417449   0.0030745
         314   -0.450347   -0.417554   0.0030665
         315    -0.36681   -0.417393  0.00306099
         316   -0.402352   -0.417345  0.00305167
         317   -0.413559   -0.417334  0.00304207
         318   -0.382032   -0.417223  0.00303453
         319   -0.381293    -0.41711   0.0030271
         320   -0.365914    -0.41695  0.00302187
         321   -0.310868   -0.416619  0.00303047
         322   -0.342152   -0.416388  0.00302987
         323   -0.423472    -0.41641  0.00302057
         324   -0.409891    -0.41639  0.00301132
         325    -0.40298   -0.416349  0.00300233
         326   -0.393855    -0.41628  0.00299392
         327   -0.441632   -0.416357  0.00298576
         328    -0.42915   -0.416396  0.00297692
         329   -0.475696   -0.416577  0.00297332
         330   -0.390928   -0.416499  0.00296532
         331   -0.388264   -0.416413  0.00295759
         332   -0.366988   -0.416265  0.00295243
         333   -0.422182   -0.416282  0.00294362
         334   -0.387464   -0.416196  0.00293607
         335   -0.343404   -0.415979  0.00293533
         336   -0.353374   -0.415792   0.0029325
         337   -0.354103   -0.415609  0.00292951
         338   -0.370951   -0.415477  0.00292382
         339   -0.354382   -0.415297  0.00292074
         340   -0.425889   -0.415328  0.00291232
         341   -0.409728   -0.415312  0.00290383
         342   -0.376239   -0.415198  0.00289758
         343   -0.350669   -0.415009  0.00289523
         344   -0.421143   -0.415027  0.00288687
         345    -0.44169   -0.415105  0.00287954
         346   -0.436162   -0.415165  0.00287186
         347   -0.447453   -0.415258  0.00286509
         348   -0.441333   -0.415333  0.00285784
         349   -0.411366   -0.415322  0.00284967
         350   -0.392881   -0.415258  0.00284225
         351    -0.48452   -0.415455    0.002841
         352   -0.467419   -0.415603  0.00283676
         353   -0.448802   -0.415697  0.00283028
         354   -0.387838   -0.415618  0.00282338
         355   -0.395866   -0.415563  0.00281597
         356   -0.373533   -0.415445  0.00281054
         357    -0.41868   -0.415454  0.00280268
         358   -0.328747   -0.415211   0.0028053
         359   -0.337007   -0.414994  0.00280593
         360   -0.372108   -0.414874  0.00280066
         361   -0.377288    -0.41477  0.00279484
         362   -0.382212    -0.41468  0.00278856
         363   -0.420835   -0.414697  0.00278093
         364   -0.404217   -0.414669  0.00277344
         365   -0.396821    -0.41462  0.00276627
         366   -0.404938   -0.414593  0.00275884
         367   -0.424627    -0.41462  0.00275146
         368    -0.40171   -0.414585  0.00274421
         369   -0.394008    -0.41453  0.00273734
         370   -0.427261   -0.414564  0.00273016
         371   -0.413167    -0.41456   0.0027228
         372    -0.36419   -0.414425  0.00271884
         373   -0.441802   -0.414498  0.00271255
         374   -0.442932   -0.414574  0.00270636
         375   -0.446064   -0.414658  0.00270044
         376   -0.404816   -0.414632  0.00269339
         377   -0.404485   -0.414605  0.00268638
         378   -0.390655   -0.414542  0.00268002
         379   -0.435211   -0.414596   0.0026735
         380    -0.42599   -0.414626  0.00266663
         381   -0.443316   -0.414702   0.0026607
         382    -0.47098   -0.414849  0.00265781
         383   -0.439178   -0.414912  0.00265163
         384   -0.477168   -0.415075  0.00264968
         385   -0.415928   -0.415077  0.00264279
         386   -0.397716   -0.415032  0.00263633
         387   -0.370725   -0.414917    0.002632
         388   -0.381011    -0.41483  0.00262667
         389   -0.390194   -0.414767  0.00262068
         390    -0.37102   -0.414654  0.00261636
         391   -0.431676   -0.414698  0.00261003
         392   -0.394313   -0.414646  0.00260389
         393   -0.420227    -0.41466   0.0025973
         394   -0.394896    -0.41461   0.0025912
         395   -0.438983   -0.414672  0.00258537
         396   -0.409311   -0.414658  0.00257888
         397   -0.384472   -0.414582   0.0025735
         398   -0.399508   -0.414544  0.00256731
         399   -0.408092   -0.414528  0.00256093
         400     -0.3835   -0.414451   0.0025557
         401   -0.340065   -0.414265  0.00255605
         402   -0.368145    -0.41415  0.00255227
         403   -0.448074   -0.414235  0.00254732
         404   -0.465389   -0.414361  0.00254416
         405   -0.378295   -0.414272  0.00253944
         406   -0.363995   -0.414148   0.0025362
         407   -0.409804   -0.414138  0.00252999
