#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.67353    -5.76946   0.0136493
         153    -5.59208     -5.7683   0.0136093
         154    -5.62827    -5.76739   0.0135512
         155      -5.554    -5.76601   0.0135336
         156     -5.6671    -5.76538   0.0134617
         157    -5.69135    -5.76491   0.0133842
         158    -5.76171    -5.76489   0.0132995
         159    -5.73309    -5.76469   0.0132173
         160    -5.78425    -5.76481   0.0131353
         161    -5.80503    -5.76506   0.0130561
         162     -5.7796    -5.76515   0.0129758
         163    -5.77496    -5.76521   0.0128963
         164    -5.68478    -5.76472    0.012827
         165    -5.74552     -5.7646   0.0127498
         166    -5.72119    -5.76434   0.0126757
         167    -5.73177    -5.76414   0.0126013
         168    -5.69114    -5.76371   0.0125338
         169    -5.72555    -5.76348   0.0124616
         170    -5.72639    -5.76327   0.0123902
         171     -5.7202    -5.76301   0.0123203
         172    -5.72582     -5.7628   0.0122506
         173    -5.73491    -5.76264   0.0121809
         174    -5.67131    -5.76211   0.0121222
         175    -5.66217    -5.76154   0.0120663
         176    -5.61514    -5.76071   0.0120264
         177    -5.60052     -5.7598   0.0119925
         178    -5.52238    -5.75847    0.011999
         179    -5.67658    -5.75801   0.0119407
         180    -5.66976    -5.75752   0.0118845
         181    -5.62834    -5.75681   0.0118402
         182    -5.62928    -5.75611   0.0117959
         183    -5.63478    -5.75544     0.01175
         184    -5.68448    -5.75506   0.0116925
         185    -5.56892    -5.75405   0.0116725
         186     -5.5676    -5.75305   0.0116527
         187    -5.58435    -5.75215   0.0116253
         188    -5.56532    -5.75115   0.0116058
         189    -5.65769    -5.75066    0.011555
         190    -5.64058    -5.75008   0.0115087
         191    -5.63418    -5.74947   0.0114644
         192    -5.70804    -5.74926   0.0114067
         193    -5.64053    -5.74869   0.0113615
         194    -5.65856    -5.74823   0.0113124
         195    -5.58097    -5.74737   0.0112869
         196    -5.51314    -5.74618   0.0112924
         197    -5.49131    -5.74488   0.0113089
         198    -5.50862    -5.74369   0.0113146
         199    -5.52452    -5.74259   0.0113112
         200    -5.54023    -5.74158   0.0112998
         201    -5.61963    -5.74097   0.0112599
         202    -5.61082    -5.74033   0.0112226
         203    -5.60921    -5.73968   0.0111858
         204    -5.66135     -5.7393   0.0111376
         205    -5.60918    -5.73866   0.0111013
         206    -5.54198    -5.73771   0.0110884
         207    -5.51776    -5.73664   0.0110857
         208    -5.54773    -5.73574   0.0110695
         209    -5.44075    -5.73432   0.0111062
         210    -5.45092    -5.73298    0.011135
         211     -5.4901    -5.73182   0.0111415
         212    -5.61381    -5.73127   0.0111029
         213     -5.5612    -5.73047   0.0110794
         214    -5.67679    -5.73022   0.0110305
         215    -5.71177    -5.73013   0.0109795
         216    -5.63347    -5.72968   0.0109378
         217    -5.57275    -5.72896   0.0109113
         218    -5.64808    -5.72859   0.0108675
         219    -5.72131    -5.72856    0.010818
         220    -5.66675    -5.72828   0.0107724
         221    -5.56234    -5.72753   0.0107498
         222    -5.52043    -5.72659   0.0107418
         223    -5.58023    -5.72594   0.0107137
         224     -5.4881    -5.72487   0.0107183
         225    -5.40511    -5.72345   0.0107645
         226    -5.37054    -5.72189   0.0108295
         227    -5.30743    -5.72007   0.0109347
         228    -5.21554    -5.71785   0.0111084
         229    -5.21103    -5.71564   0.0112782
         230    -5.29057    -5.71379   0.0113796
         231     -5.3233     -5.7121   0.0114552
         232    -5.39379    -5.71073   0.0114877
         233    -5.33086     -5.7091   0.0115535
         234    -5.47467     -5.7081   0.0115474
         235    -5.41817    -5.70686    0.011564
         236    -5.28441    -5.70507   0.0116527
         237    -5.36385    -5.70363   0.0116922
         238    -5.22997    -5.70164   0.0118112
         239    -5.18209    -5.69947   0.0119602
         240    -5.29528    -5.69779   0.0120283
         241    -5.34038     -5.6963   0.0120695
         242      -5.422    -5.69517   0.0120727
         243    -5.36998    -5.69383    0.012097
         244    -5.37606    -5.69253   0.0121173
         245    -5.45735    -5.69157   0.0121058
         246    -5.42953     -5.6905   0.0121034
         247    -5.48005    -5.68965   0.0120843
         248    -5.46149    -5.68873   0.0120706
         249    -5.42427    -5.68767   0.0120687
         250     -5.3639    -5.68637   0.0120897
         251    -5.33721    -5.68498   0.0121214
         252    -5.38707     -5.6838   0.0121308
         253    -5.52072    -5.68316   0.0120999
         254    -5.56622     -5.6827    0.012061
         255    -5.52396    -5.68207   0.0120298
         256    -5.48382     -5.6813   0.0120077
         257    -5.52109    -5.68068   0.0119772
         258    -5.43913    -5.67974   0.0119673
         259    -5.52298    -5.67913   0.0119364
         260    -5.53293    -5.67857   0.0119037
         261    -5.52278    -5.67797    0.011873
         262    -5.60005    -5.67768   0.0118314
         263    -5.55984    -5.67723   0.0117949
         264     -5.5646     -5.6768    0.011758
         265    -5.46668    -5.67601   0.0117403
         266    -5.49341    -5.67532   0.0117162
         267    -5.55149    -5.67486   0.0116815
         268    -5.54245    -5.67437   0.0116484
         269    -5.54913     -5.6739   0.0116144
         270    -5.50339    -5.67327   0.0115885
         271    -5.48893    -5.67259   0.0115657
         272    -5.48361    -5.67189    0.011544
         273    -5.55131    -5.67145   0.0115102
         274    -5.60629    -5.67121   0.0114706
         275    -5.55411    -5.67079   0.0114368
         276    -5.47579    -5.67008   0.0114172
         277    -5.48199     -5.6694   0.0113962
         278    -5.52862     -5.6689   0.0113664
         279     -5.4601    -5.66815   0.0113503
         280    -5.50474    -5.66756   0.0113247
         281    -5.50225    -5.66698   0.0112997
         282    -5.50445     -5.6664   0.0112743
         283    -5.42297    -5.66554   0.0112672
         284    -5.44485    -5.66476   0.0112543
         285    -5.42683    -5.66393   0.0112458
         286    -5.39162    -5.66298   0.0112467
         287    -5.42766    -5.66216   0.0112373
         288    -5.38003    -5.66118   0.0112409
         289    -5.47771    -5.66054     0.01122
         290    -5.51096    -5.66003   0.0111931
         291    -5.55968    -5.65968     0.01116
         292    -5.49251    -5.65911   0.0111364
         293    -5.47525    -5.65848   0.0111161
         294    -5.50778    -5.65797   0.0110901
         295    -5.48625    -5.65739   0.0110677
         296    -5.51457     -5.6569   0.0110409
         297    -5.50894    -5.65641   0.0110149
         298    -5.59698    -5.65621   0.0109798
         299    -5.61756    -5.65608   0.0109438
         300    -5.55178    -5.65573   0.0109129
         301    -5.50648    -5.65523   0.0108879
         302    -5.39943    -5.65439   0.0108847
         303    -5.51109    -5.65391    0.010859
         304    -5.52066    -5.65347   0.0108322
         305    -5.41434    -5.65269    0.010825
         306    -5.39052    -5.65183   0.0108235
         307     -5.4152    -5.65106   0.0108156
         308    -5.48506    -5.65052   0.0107939
         309    -5.54927     -5.6502    0.010764
         310    -5.42378    -5.64947    0.010754
         311    -5.46776    -5.64888   0.0107353
         312     -5.4857    -5.64836   0.0107136
         313    -5.49286    -5.64786   0.0106909
         314    -5.52374    -5.64747   0.0106641
         315    -5.49202    -5.64697   0.0106417
         316    -5.47618    -5.64643   0.0106217
         317    -5.45825    -5.64584   0.0106048
         318    -5.56488    -5.64558   0.0105745
         319    -5.67353    -5.64567   0.0105417
         320    -5.65382     -5.6457   0.0105088
         321    -5.60709    -5.64558   0.0104768
         322    -5.53883    -5.64525   0.0104495
         323    -5.59302    -5.64508   0.0104184
         324    -5.58243    -5.64489    0.010388
         325    -5.62317    -5.64482   0.0103563
         326    -5.62213    -5.64475   0.0103247
         327    -5.62413    -5.64469   0.0102933
         328    -5.58031    -5.64449   0.0102638
         329    -5.62814    -5.64445   0.0102328
         330    -5.69019    -5.64458   0.0102027
         331    -5.58696    -5.64441   0.0101734
         332    -5.58746    -5.64424   0.0101442
         333    -5.64509    -5.64424   0.0101137
         334    -5.60876    -5.64413    0.010084
         335    -5.62482    -5.64408    0.010054
         336    -5.53742    -5.64376   0.0100291
         337    -5.61931    -5.64369  0.00999962
         338    -5.59471    -5.64354  0.00997109
         339    -5.53208    -5.64321   0.0099471
         340    -5.50851    -5.64282  0.00992573
         341    -5.50497    -5.64241  0.00990485
         342    -5.34124    -5.64153  0.00991496
         343    -5.36895    -5.64074  0.00991785
         344    -5.53208    -5.64042  0.00989404
         345    -5.57069    -5.64022  0.00986743
         346    -5.51544    -5.63986   0.0098455
         347    -5.51361    -5.63949  0.00982385
         348    -5.43231     -5.6389  0.00981364
         349     -5.4239    -5.63828  0.00980484
         350    -5.39618    -5.63759  0.00980119
         351    -5.42428    -5.63698  0.00979209
         352    -5.44233    -5.63643  0.00977988
         353    -5.39105    -5.63574  0.00977685
         354    -5.36659    -5.63498  0.00977875
         355    -5.34548    -5.63416  0.00978514
         356    -5.37507    -5.63343  0.00978469
         357    -5.41542    -5.63282  0.00977632
         358    -5.33016    -5.63198   0.0097855
         359    -5.28526    -5.63101  0.00980578
         360    -5.33098    -5.63018   0.0098139
         361     -5.3379    -5.62937  0.00982005
         362     -5.2602    -5.62835  0.00984574
         363     -5.3426    -5.62756  0.00985003
         364    -5.35169     -5.6268  0.00985208
         365    -5.35001    -5.62604  0.00985423
         366    -5.18002    -5.62483  0.00990238
         367    -5.23071    -5.62375  0.00993345
         368    -5.31609    -5.62292  0.00994158
         369    -5.33504    -5.62214   0.0099452
         370    -5.34535    -5.62139  0.00994642
         371    -5.34896    -5.62065  0.00994668
         372    -5.29007    -5.61976  0.00995956
         373    -5.33513      -5.619  0.00996205
         374    -5.29149    -5.61813  0.00997383
         375    -5.22711    -5.61708   0.0100016
         376    -5.29067    -5.61621   0.0100126
         377    -5.35508    -5.61552     0.01001
         378    -5.38234    -5.61491   0.0100025
         379    -5.42864    -5.61441  0.00998815
         380    -5.38512    -5.61381  0.00998007
         381    -5.29791    -5.61298  0.00998826
         382    -5.35071    -5.61229  0.00998568
         383    -5.44715    -5.61186  0.00996891
         384    -5.38595    -5.61128   0.0099603
         385    -5.38645    -5.61069  0.00995153
         386    -5.32001    -5.60994   0.0099542
         387    -5.40064     -5.6094  0.00994316
         388    -5.40218    -5.60886  0.00993187
         389    -5.32566    -5.60814  0.00993298
         390    -5.29573    -5.60733  0.00993976
         391    -5.32059     -5.6066  0.00994136
         392    -5.39507    -5.60606  0.00993063
         393     -5.4326    -5.60562  0.00991517
         394    -5.39206    -5.60508  0.00990481
         395    -5.45361    -5.60469  0.00988715
         396    -5.40549    -5.60419  0.00987497
         397    -5.45019     -5.6038  0.00985771
         398    -5.45318    -5.60342  0.00984021
         399    -5.45412    -5.60305  0.00982266
         400    -5.42988    -5.60262  0.00980764
         401    -5.49924    -5.60236  0.00978657
         402    -5.50808    -5.60213  0.00976503
         403    -5.45141    -5.60175  0.00974796
         404    -5.43897    -5.60135  0.00973215
         405    -5.41957     -5.6009  0.00971847
         406    -5.41303    -5.60044  0.00970554
         407    -5.32078    -5.59975  0.00970599
         408    -5.27501    -5.59895  0.00971478
         409    -5.36795    -5.59839  0.00970743
         410    -5.38342    -5.59786   0.0096979
         411    -5.36257    -5.59729  0.00969119
         412    -5.51349    -5.59709   0.0096698
         413    -5.52388    -5.59691  0.00964801
         414    -5.51651    -5.59672  0.00962666
         415    -5.44825    -5.59636  0.00961011
         416    -5.42322    -5.59594  0.00959602
         417     -5.3992    -5.59547   0.0095846
         418    -5.41135    -5.59503  0.00957179
