# generation:     mean_loss:           best_loss:
259                  90.5206                  90.5206
260                  90.5206                  90.5206
261                  90.5206                  90.5206
262                    90.52                  90.2302
263                  90.3861                  90.0699
264                  90.1667                  90.0699
265                  90.0699                  90.0699
266                  90.0699                  90.0699
267                  90.0699                  90.0699
268                  90.0699                  90.0699
269                  90.0699                  90.0699
270                  90.0699                  90.0699
271                  90.0699                  90.0699
272                  90.0699                  90.0699
273                  90.0699                  90.0699
274                  90.0699                  90.0675
275                  90.0656                  88.9927
276                  89.5527                  88.9927
277                  88.9927                  88.9927
278                  88.9927                  88.9927
279                  88.9927                  88.9927
280                  88.9914                  88.3318
281                  88.6771                  88.3318
282                  88.3318                  88.3318
283                  88.3318                  88.3318
284                  88.3318                  88.3318
285                  88.3318                  88.3318
286                  88.3318                  88.3318
287                  88.3318                  88.3318
288                  88.3318                  88.3318
289                  88.3318                  88.3318
290                  88.3306                  87.7283
291                  88.1734                   87.627
292                  87.7354                   87.627
293                  87.6255                  86.8909
294                  87.2637                  85.8579
295                  86.3421                  85.8579
296                  85.8579                  85.8579
297                  85.8579                  85.8579
298                  85.8579                  85.8579
299                  85.8579                  85.8579
300                  85.8579                  85.8579
301                  85.8579                  85.8579
302                  88.4491                  85.8579
303                   85.857                  85.4481
304                  85.6718                  85.4481
305                  85.4481                  85.4481
306                  85.4481                  85.4481
307                  85.4481                  85.4481
308                  85.4481                  85.4481
309                   85.448                  85.4308
310                  85.4415                  85.0543
311                  85.2833                  85.0543
312                  85.0542                  85.0007
313                  85.0285                  85.0007
314                  85.0007                  85.0007
315                  85.0007                  85.0007
316                  85.0007                  85.0007
317                  85.0007                  85.0007
318                  85.0007                  85.0007
319                  85.0007                  85.0007
320                  85.0007                  85.0007
321                  85.0007                  85.0007
322                  85.0007                  85.0007
323                  85.0007                  85.0007
324                  84.9988                  84.0664
325                  84.7362                  82.5607
326                  83.3365                  82.5607
327                  82.5594                  81.8966
328                  82.3674                  80.3694
329                  80.9941                  80.3694
330                  80.3694                  80.3694
331                  80.3694                  80.3694
332                  80.3694                  80.3694
333                  80.3686                  79.9696
334                  80.1746                  79.9026
335                  79.9322                  79.9026
336                  79.9026                  79.9026
337                  79.9026                  79.9026
338                  79.9026                  79.9026
339                  79.9026                  79.9026
340                  79.9026                  79.9026
341                  79.9017                  79.4419
342                  79.6686                  79.4419
343                  79.4419                  79.4419
344                  79.4415                  79.2308
345                  79.3507                  79.2308
346                  79.2308                  79.2308
347                  79.2308                  79.2308
348                  79.2308                  79.2308
349                  79.2308                  79.2308
350                  79.2308                  79.2308
351                  79.2308                  79.2308
352                  79.2308                  79.2308
353                  79.2308                  79.2308
354                  79.2308                  79.2308
355                  79.2308                  79.2308
356                  79.2308                  79.2308
357                  79.2302                  78.9552
358                  79.1029                  78.9552
359                  78.9552                  78.9552
360                  78.9552                  78.9552
361                  78.9552                  78.9552
362                  78.9552                  78.9552
363                  78.9552                  78.9552
364                  78.9552                  78.9552
365                  78.9552                  78.9552
366                  78.9552                  78.9552
367                  78.9552                  78.9552
368                  78.9548                  78.7855
369                  78.8757                  78.7855
370                  78.7855                  78.7855
371                  78.7849                  78.5226
372                  78.6614                  78.5226
373                  78.5226                  78.5226
374                  78.5226                  78.5226
375                  78.5226                  78.5226
376                  78.5226                  78.5226
377                  78.5226                  78.5226
378                  78.5226                  78.5226
379                  78.5226                  78.5226
380                  78.5226                  78.5226
381                  78.5226                  78.5226
382                  78.5226                  78.5226
383                  78.5226                  78.5226
384                  78.5226                  78.5226
385                  78.5226                  78.5226
386                  78.5226                  78.5226
387                  78.5226                  78.5226
388                  78.5226                  78.5226
389                  78.5226                  78.5226
390                  78.5226                  78.5226
391                  78.5226                  78.5226
392                  78.5226                  78.5226
393                  78.5226                  78.5226
394                  78.5226                  78.5226
395                  78.5226                  78.5226
396                  78.5226                  78.5226
397                  78.5226                  78.5226
398                  78.5226                  78.5226
399                  78.5226                  78.5226
400                  78.5226                  78.5226
401                  78.5226                  78.5226
402                  78.5226                  78.5226
403                  78.5226                  78.5226
404                  78.5226                  78.5226
405                  78.5226                  78.5226
406                  78.5226                  78.5226
407                  78.5226                  78.5226
408                  78.5226                  78.5226
409                  78.5226                  78.5226
410                  78.5226                  78.5226
411                  78.5226                  78.5226
412                  78.5226                    78.52
413                  78.5215                    78.52
414                    78.52                    78.52
415                    78.52                    78.52
416                    78.52                    78.52
417                    78.52                    78.52
418                    78.52                    78.52
419                    78.52                    78.52
420                    78.52                    78.52
421                    78.52                    78.52
422                    78.52                    78.52
423                    78.52                    78.52
424                    78.52                    78.52
425                    78.52                    78.52
426                    78.52                    78.52
427                    78.52                    78.52
428                    78.52                    78.52
429                    78.52                    78.52
430                    78.52                    78.52
431                    78.52                    78.52
432                    78.52                    78.52
433                    78.52                    78.52
434                    78.52                    78.52
435                    78.52                    78.52
436                    78.52                    78.52
437                    78.52                    78.52
438                    78.52                    78.52
439                  78.5197                  78.3699
440                   78.445                  78.3699
441                  78.3699                  78.3699
442                  78.3699                  78.3699
443                  78.3699                  78.3699
444                  78.3699                  78.3699
445                  78.3699                  78.3699
446                  78.3699                  78.3699
447                  78.3699                  78.3699
448                  78.3699                  78.3699
449                  78.3699                  78.3699
450                  78.3699                  78.3699
451                  78.3699                  78.3699
452                  78.3699                  78.3699
453                  78.3699                  78.3699
454                  78.3699                  78.3699
455                  78.3699                  78.3699
456                  78.3699                  78.3699
457                  78.3699                  78.3699
458                  78.3699                  78.3699
459                  78.3699                  78.3699
460                  78.3699                  78.3699
461                  78.3699                  78.3699
462                  78.3699                  78.3699
463                  78.3699                  78.3699
464                  78.3699                  78.3699
465                   78.369                  77.9283
466                  78.1495                  77.8047
