# generation:     mean_loss:           best_loss:
1                  2453.48                  2057.37
2                  2266.09                   1941.5
3                  1988.54                  1834.62
4                  1865.74                  1781.82
5                  1791.33                  1709.15
6                  1736.71                  1649.02
7                  1675.91                  1564.23
8                  1598.64                     1496
9                  1516.51                  1461.05
10                  1468.88                  1372.81
11                  1396.37                  1274.31
12                  1317.14                  1226.72
13                  1245.36                  1196.73
14                  1202.96                  1151.76
15                   1173.7                  1087.97
16                   1119.1                  1067.49
17                  1073.59                  1029.01
18                  1040.84                  1000.47
19                  1007.03                  871.004
20                  923.931                  814.581
21                  834.102                  804.599
22                  809.008                  750.452
23                  773.873                  737.151
24                  742.062                  717.478
25                  724.056                  693.593
26                   701.89                  675.267
27                  681.619                  647.258
28                  660.182                  619.014
29                  630.657                  599.872
30                  607.533                  592.075
31                  593.806                  570.661
32                  584.139                  561.023
33                  566.769                   554.42
34                  556.984                  553.481
35                   554.27                  535.081
36                  547.122                  519.188
37                   532.91                  510.974
38                  517.691                  501.967
39                  506.422                  491.596
40                  496.349                  482.608
41                   486.73                  464.634
42                  470.283                  445.275
43                  452.726                  440.341
44                  442.093                  433.196
45                  436.449                  426.216
46                  428.649                  419.744
47                  423.336                  419.167
48                  419.353                  412.312
49                  415.005                  409.186
50                  410.462                  405.456
51                  406.856                  399.042
52                  401.846                   395.05
53                  396.723                  389.965
54                  391.836                  381.707
55                  386.842                  374.832
56                  378.406                  364.764
57                  371.508                   354.43
58                   361.39                  327.761
59                  341.834                  322.365
60                  325.138                  318.133
61                  321.116                  314.962
62                  354.267                  316.785
63                  322.136                  312.056
64                  317.533                  310.233
65                  312.969                  309.018
66                  310.076                  306.083
67                  307.957                  305.406
68                  305.707                  302.174
69                  303.408                  299.019
70                  300.749                  295.795
71                  297.373                  291.153
72                  293.263                  288.168
73                  289.616                  282.874
74                  285.126                  279.275
75                  280.789                  276.504
76                  277.536                  269.473
77                  272.868                   267.95
78                  268.818                  267.519
79                  267.749                  263.881
80                   265.78                  260.331
81                  262.335                  254.959
82                  257.441                  249.596
83                  251.752                   243.84
84                  246.993                  239.136
85                  241.118                  231.526
86                  235.508                   222.74
87                  227.234                  220.538
88                  221.097                  216.914
89                  218.731                  216.018
90                    216.2                  211.268
91                   213.55                    208.6
92                  214.238                  209.233
93                  210.182                  206.925
94                  207.891                  205.228
95                  205.795                  200.252
96                  202.031                  199.765
97                  199.968                  196.467
98                  197.894                   194.71
99                  195.197                  193.975
100                  194.176                  192.576
101                  193.116                  191.294
102                  191.764                  188.655
103                  190.121                  187.205
104                  187.935                  186.766
105                  187.011                  186.075
106                  186.432                  185.112
107                  185.433                  184.694
108                  184.862                  183.114
109                  183.816                  181.779
110                  182.357                  180.907
111                  181.345                  178.655
112                  179.841                  178.655
113                  178.655                  178.416
114                  178.546                  178.416
115                  178.416                  178.416
116                  178.413                  176.571
117                  177.515                  175.011
118                  175.732                   174.62
119                  174.857                  172.955
120                  173.723                  169.396
121                  171.258                  166.552
122                  179.222                  168.379
123                  169.085                  166.552
124                  167.707                  166.278
125                  166.401                  165.983
126                  166.135                  164.177
127                  164.848                   163.36
128                  163.794                  162.343
129                  162.806                  158.862
130                  159.842                  158.862
131                  158.862                  158.862
132                  158.861                  158.077
133                  158.447                  157.931
134                  157.995                  157.931
135                  157.931                  157.931
136                  157.927                  156.002
137                  157.068                  155.251
138                  155.636                  154.989
139                  155.128                  154.802
140                  154.889                  153.859
141                  154.299                  153.842
142                  153.849                  153.236
143                  153.557                  153.219
144                  153.216                  152.207
145                    152.7                  151.795
146                   152.01                  151.795
147                  151.795                  151.795
148                  151.795                  151.795
149                  151.795                  151.733
150                  151.765                  151.733
151                  151.733                  151.733
152                  151.743                  151.725
153                  151.725                  150.838
154                  151.268                  149.647
155                  150.287                  148.637
156                  149.108                  148.524
157                  148.571                  148.524
158                  148.524                  148.524
159                  148.524                  148.524
160                  148.524                  148.524
161                  148.524                  148.524
162                  148.522                   147.53
163                  148.096                   147.53
164                   147.53                   147.53
165                  147.529                  147.042
166                  147.321                  146.023
167                  146.488                  145.749
168                  145.735                  144.082
169                  144.286                  144.082
170                  144.082                  144.082
171                  144.082                  143.903
172                  143.998                  143.903
173                  143.903                  143.903
174                  143.901                      143
175                   143.48                  142.975
176                  142.906                  142.072
177                  142.147                  142.072
178                  142.071                  141.316
179                  141.739                  141.316
